"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"09105","Freire","","Cautín","La Araucanía","935,2","27.616","29,5","0,614"
"09106","Galvarino","","Cautín","La Araucanía","568,2","11.324","19,9","0,611"
"09107","Gorbea","","Cautín","La Araucanía","694,5","15.481","22,3","0,644"
"09108","Lautaro","","Cautín","La Araucanía","901,1","35.451","39,3","0,669"
"09109","Loncoche","","Cautín","La Araucanía","976,8","22.191","22,7","0,652"
"09110","Melipeuco","","Cautín","La Araucanía","1.107,3","5.451","4,9","0,629"
"09111","Nueva Imperial","","Cautín","La Araucanía","732,5","32.109","43,8","0,629"
"09112","Padre Las Casas","","Cautín","La Araucanía","400,7","72.135","180,0","0,662"
"09113","Perquenco","","Cautín","La Araucanía","330,7","6.911","20,9","0,630"
"09114","Pitrufquén","","Cautín","La Araucanía","580,7","23.776","40,9","0,663"
"09115","Pucón","","Cautín","La Araucanía","1.248,5","29.987","24,0","0,767"
"09116","Saavedra","","Cautín","La Araucanía","400,8","13.481","33,6","0,574"
"09117","Teodoro Schmidt","","Cautín","La Araucanía","649,9","15.793","24,3","0,607"
"09118","Toltén","","Cautín","La Araucanía","860,4","10.403","12,1","0,617"
"09119","Vilcún","","Cautín","La Araucanía","1.420,9","23.823","16,8","0,643"
"09120","Villarrica","","Cautín","La Araucanía","1.291,1","56.178","43,5","0,698"
"09121","Cholchol","","Cautín","La Araucanía","427,9","10.825","25,3",""
"09201","Angol","","Malleco","La Araucanía","1.194,4","51.136","42,8","0,707"
"09202","Collipulli","","Malleco","La Araucanía","1.295,9","21.705","16,7","0,633"
"09203","Curacautín","","Malleco","La Araucanía","1.664,0","15.728","9,5","0,657"
"09204","Ercilla","","Malleco","La Araucanía","499,7","9.148","18,3","0,609"
"09205","Lonquimay","","Malleco","La Araucanía","3.914,2","11.341","2,9","0,629"
"09206","Los Sauces","","Malleco","La Araucanía","849,8","6.490","7,6","0,602"
"09207","Lumaco","","Malleco","La Araucanía","1.119,0","10.479","9,4","0,603"
"09208","Purén","","Malleco","La Araucanía","464,9","11.789","25,4","0,594"
"09209","Renaico","","Malleco","La Araucanía","267,4","9.028","33,8","0,615"
"09210","Traiguén","","Malleco","La Araucanía","908,0","18.357","20,2","0,657"
"09211","Victoria","","Malleco","La Araucanía","1.256,0","33.127","26,4","0,686"
"14101","Valdivia","","Valdivia","Los Ríos","1.016,0","163.148","138,4","0,754"
"14102","Corral","","Valdivia","Los Ríos","767,0","5.084","7,1","0,658"
"14103","Lanco","","Valdivia","Los Ríos","532,4","16.663","28,4","0,648"
"14104","Los Lagos","","Valdivia","Los Ríos","1.791,2","18.733","11,3","0,658"
"14105","Máfil","","Valdivia","Los Ríos","583,0","7.006","12,3","0,655"
"14106","Mariquina","","Valdivia","Los Ríos","1.320,5","19.823","15,1","0,653"
"14107","Paillaco","","Valdivia","Los Ríos","896,0","19.898","22,0","0,647"
"14108","Panguipulli","","Valdivia","Los Ríos","3.292,0","35.185","10,1","0,627"
"14201","La Unión","","Ranco","Los Ríos","2.137,0","38.544","18,4","0,687"
"14202","Futrono","","Ranco","Los Ríos","2.267,5","15.811","6,6","0,637"
